,Forecast,Lower_CI,Upper_CI,Mean
2025-07-31,320.32797,288.2964,359.29895,323.79767
2025-08-01,320.74084,288.54852,347.68597,318.11725
2025-08-04,321.14664,302.304,347.64975,324.97687
2025-08-05,321.535,290.0656,356.26758,323.1666
2025-08-06,321.89532,301.1337,361.50473,331.3192
2025-08-07,322.2222,303.25604,348.8636,326.0598
2025-08-08,322.5152,303.83853,359.70322,331.77087
2025-08-11,322.77704,298.42383,360.93195,329.6779
2025-08-12,323.0127,287.29163,367.9394,327.6155
2025-08-13,323.2274,308.404,352.96533,330.68466
2025-08-14,323.42618,294.86093,347.33987,321.1004
2025-08-15,323.6133,296.2024,353.75897,324.98068
2025-08-18,323.79218,295.3491,354.0814,324.71524
2025-08-19,323.96512,286.912,361.44537,324.17868
2025-08-20,324.1336,287.03625,365.07483,326.05554
2025-08-21,324.29855,294.6565,344.00677,319.33163
2025-08-22,324.4603,302.42624,345.34274,323.8845
2025-08-25,324.61877,287.91125,361.71057,324.8109
2025-08-26,324.77386,298.61835,351.22137,324.91986
2025-08-27,324.92532,302.42435,361.65274,332.03854
2025-08-28,325.0729,288.79727,357.57736,323.18732
2025-08-29,325.21637,299.36044,362.71268,331.03656
2025-09-01,325.35553,292.43442,356.61545,324.52493
2025-09-02,325.49036,303.89594,356.5926,330.24426
2025-09-03,325.62082,293.6758,359.75943,326.71762
2025-09-04,325.74695,304.39932,353.5801,328.98972
2025-09-05,325.86877,296.09268,351.6379,323.8653
2025-09-08,325.98648,294.32037,356.37305,325.3467
2025-09-09,326.1002,287.05457,355.24042,321.1475
2025-09-10,326.21002,289.91504,351.23193,320.5735
2025-09-11,326.31613,297.7496,348.73917,323.2444
2025-09-12,326.4186,304.26453,355.73523,329.99988
2025-09-15,326.51764,298.4907,356.3743,327.4325
2025-09-16,326.61337,300.98306,348.95224,324.96765
2025-09-17,326.7059,301.55728,352.08054,326.8189
2025-09-18,326.79532,295.81805,364.6751,330.24658
2025-09-19,326.88177,297.593,355.97086,326.78192
2025-09-22,326.96533,297.13522,364.82364,330.97943
2025-09-23,327.04608,292.73083,364.5481,328.63947
2025-09-24,327.12418,302.9844,361.3602,332.1723
2025-09-25,327.19965,292.12988,356.68738,324.40863
2025-09-26,327.27258,299.09506,364.4763,331.78568
2025-09-29,327.34314,297.7271,355.05505,326.39108
2025-09-30,327.41122,306.97565,355.0,330.98782
2025-10-01,327.47708,292.92365,355.80304,324.36334
2025-10-02,327.54074,303.3277,354.02997,328.67883
2025-10-03,327.6023,298.9152,359.0309,328.97305
2025-10-06,327.66177,285.23294,364.95786,325.0954
2025-10-07,327.7192,294.48807,362.84134,328.6647
2025-10-08,327.77475,296.94006,350.44916,323.6946
2025-10-09,327.8284,306.21365,351.37997,328.7968
2025-10-10,327.88028,303.00488,354.3051,328.655
2025-10-13,327.93042,295.31027,350.166,322.73813
2025-10-14,327.97888,302.315,357.54913,329.93207
2025-10-15,328.0257,292.54657,355.7862,324.16638
2025-10-16,328.07098,301.48602,357.17938,329.3327
2025-10-17,328.1147,295.22955,368.2553,331.74243
2025-10-20,328.15692,294.70847,349.54495,322.1267
2025-10-21,328.19775,294.24078,356.09088,325.16583
2025-10-22,328.23718,300.35434,355.05472,327.70453
2025-10-23,328.27527,297.18332,349.37357,323.27844
2025-10-24,328.3121,288.04956,360.48932,324.26944
2025-10-27,328.34772,301.11368,352.43564,326.77466
2025-10-28,328.3821,311.41504,351.18884,331.30194
2025-10-29,328.4153,294.0434,347.93732,320.99036
2025-10-30,328.4474,289.67755,356.72998,323.20377
2025-10-31,328.47845,294.21237,348.74478,321.47858
2025-11-03,328.50845,291.09827,357.09436,324.0963
2025-11-04,328.5374,299.47992,348.13177,323.80585
2025-11-05,328.5654,286.88193,364.97647,325.9292
2025-11-06,328.59244,294.46802,355.7967,325.13235
2025-11-07,328.6186,295.17136,357.7004,326.43588
2025-11-10,328.6438,297.95926,347.4561,322.70767
2025-11-11,328.6682,294.74762,346.8614,320.8045
2025-11-12,328.6918,286.11157,355.37366,320.7426
2025-11-13,328.7145,290.27097,350.91257,320.59177
2025-11-14,328.73657,287.46112,349.93097,318.69604
2025-11-17,328.75784,283.43427,357.24048,320.33737
2025-11-18,328.77832,290.3219,350.102,320.21194
2025-11-19,328.79825,287.906,343.13397,315.52
2025-11-20,328.81738,285.37317,358.24792,321.81055
2025-11-21,328.8359,294.35138,356.0827,325.21704
2025-11-24,328.85382,295.4687,350.89343,323.18106
2025-11-25,328.87103,284.3834,363.12064,323.752
2025-11-26,328.88773,306.6259,346.18893,326.4074
2025-11-27,328.90387,288.20074,352.52673,320.36374
2025-11-28,328.91946,293.05807,351.43802,322.24805
2025-12-01,328.93454,298.0598,351.60394,324.83188
2025-12-02,328.94907,290.2301,347.97754,319.10382
2025-12-03,328.96313,286.70306,355.10675,320.9049
2025-12-04,328.9767,291.85107,352.0854,321.96823
2025-12-05,328.98984,291.65686,349.47668,320.56677
2025-12-08,329.00253,303.79883,350.97278,327.3858
2025-12-09,329.01483,300.26807,354.5144,327.39124
2025-12-10,329.02658,298.24673,357.5234,327.88507
2025-12-11,329.03806,307.19275,361.8429,334.51782
2025-12-12,329.04913,295.60834,372.12708,333.8677
2025-12-15,329.0598,313.30478,365.7048,339.5048
2025-12-16,329.0701,301.83667,373.49988,337.66827
2025-12-17,329.08008,303.5618,373.38223,338.47202
2025-12-18,329.08963,311.18048,368.0664,339.62344
2025-12-19,329.09894,293.88174,373.63846,333.7601
2025-12-22,329.10797,296.60248,370.05945,333.33096
2025-12-23,329.11664,305.58694,365.50912,335.54803
2025-12-24,329.125,304.54855,366.09225,335.3204
2025-12-25,329.13312,301.90762,351.70456,326.8061
2025-12-26,329.14096,300.08716,366.13916,333.11316
2025-12-29,329.14847,297.41763,357.56216,327.4899
2025-12-30,329.15582,301.91043,360.34604,331.12823
2025-12-31,329.16284,289.0129,363.89444,326.45367
2026-01-01,329.1697,299.1981,366.04977,332.62393
2026-01-02,329.1763,293.62558,365.1478,329.3867
2026-01-05,329.18268,299.47052,362.95905,331.21478
2026-01-06,329.1888,308.13284,364.3975,336.26517
2026-01-07,329.19473,304.8363,363.48358,334.15994
2026-01-08,329.20044,313.28436,361.62494,337.45465
2026-01-09,329.20602,305.14294,359.25928,332.2011
2026-01-12,329.21133,306.2915,356.92596,331.60873
2026-01-13,329.21652,298.15555,369.8419,333.99872
2026-01-14,329.22153,292.65564,353.23743,322.94653
2026-01-15,329.22632,304.3205,365.73804,335.02927
2026-01-16,329.23102,292.64517,364.9631,328.80414
2026-01-19,329.2355,308.8153,365.51245,337.16388
2026-01-20,329.23984,303.31738,367.39893,335.35815
2026-01-21,329.24405,291.854,371.52557,331.6898
2026-01-22,329.2481,289.7916,360.92007,325.35583
2026-01-23,329.25204,316.22098,355.6077,335.91434
2026-01-26,329.2558,289.5728,359.65405,324.61343
2026-01-27,329.25943,299.16464,362.19724,330.68094
2026-01-28,329.26303,302.53717,364.04028,333.28873
2026-01-29,329.26642,296.71344,357.31274,327.0131
2026-01-30,329.2697,298.30432,363.22205,330.76318
2026-02-02,329.2729,311.2164,350.93503,331.0757
2026-02-03,329.27594,291.65985,360.86127,326.26056
2026-02-04,329.2789,299.9394,357.255,328.5972
2026-02-05,329.2818,296.52206,358.0933,327.30768
2026-02-06,329.28455,296.413,364.58432,330.49866
2026-02-09,329.28726,293.7621,367.57227,330.66718
2026-02-10,329.2898,286.77975,356.37808,321.57892
2026-02-11,329.29236,298.85175,356.80542,327.82858
2026-02-12,329.2948,293.127,364.96478,329.0459
2026-02-13,329.29712,293.58685,354.09088,323.83887
2026-02-16,329.29938,296.2791,356.9765,326.6278
2026-02-17,329.30157,308.793,350.65866,329.72583
2026-02-18,329.3037,301.09222,369.175,335.1336
2026-02-19,329.30573,298.12082,362.82907,330.47495
2026-02-20,329.30768,298.22992,362.54608,330.388
2026-02-23,329.30954,302.58694,363.6365,333.11172
2026-02-24,329.3114,302.3927,371.39014,336.89142
2026-02-25,329.31314,299.2781,362.33383,330.80597
2026-02-26,329.3149,294.4177,375.43863,334.92816
2026-02-27,329.3166,304.38702,368.82874,336.60788
2026-03-02,329.31815,287.82263,365.4477,326.63516
2026-03-03,329.3197,307.5496,361.98056,334.76508
2026-03-04,329.32123,314.49274,367.89417,341.19345
2026-03-05,329.32263,300.87827,365.28317,333.08072
2026-03-06,329.32404,296.39023,383.96805,340.17914
2026-03-09,329.3254,308.74304,367.60626,338.17465
2026-03-10,329.3267,309.41956,368.96014,339.18985
2026-03-11,329.32794,314.3425,370.9152,342.62885
2026-03-12,329.32913,314.2124,364.71918,339.4658
2026-03-13,329.33035,304.61224,373.5379,339.07507
2026-03-16,329.33145,310.8511,356.9825,333.9168
2026-03-17,329.33258,304.57837,372.54486,338.5616
2026-03-18,329.33362,303.8658,364.0627,333.96426
2026-03-19,329.33463,307.0176,361.535,334.2763
2026-03-20,329.33557,305.55988,367.61163,336.58575
2026-03-23,329.33655,301.92694,368.65497,335.29095
2026-03-24,329.33746,307.00937,367.15994,337.08466
2026-03-25,329.33835,311.93988,371.565,341.75244
2026-03-26,329.3392,306.72284,363.734,335.22842
2026-03-27,329.34006,298.35666,376.16177,337.25922
2026-03-30,329.34085,300.4179,368.97626,334.69708
2026-03-31,329.34164,299.4657,367.87885,333.67227
2026-04-01,329.34235,300.87683,353.6001,327.23846
2026-04-02,329.34308,299.35742,353.5951,326.47626
2026-04-03,329.3438,292.2976,369.75476,331.02618
2026-04-06,329.34445,306.6646,357.61426,332.13943
2026-04-07,329.3451,296.89258,363.86084,330.3767
2026-04-08,329.34573,312.85913,356.83313,334.84613
2026-04-09,329.3464,306.5827,369.64056,338.11163
2026-04-10,329.34692,310.07544,362.57825,336.32684
2026-04-13,329.34753,304.3148,370.93515,337.62497
2026-04-14,329.34808,303.8328,370.38773,337.11026
2026-04-15,329.34857,308.4391,375.765,342.10205
2026-04-16,329.3491,294.3157,372.3533,333.3345
2026-04-17,329.34958,291.068,374.15283,332.6104
2026-04-20,329.35004,307.4818,356.98376,332.2328
2026-04-21,329.35052,299.06616,363.9154,331.49078
2026-04-22,329.35095,299.9096,363.6432,331.7764
2026-04-23,329.35135,299.32242,354.61276,326.9676
2026-04-24,329.35178,297.21353,363.62405,330.4188
2026-04-27,329.35217,295.81143,365.9243,330.86786
2026-04-28,329.35257,300.6817,358.51215,329.59692
2026-04-29,329.353,295.0537,362.0407,328.5472
2026-04-30,329.35333,297.43015,356.31314,326.87164
2026-05-01,329.35367,294.9122,356.24393,325.57806
2026-05-04,329.35406,295.17834,360.4392,327.80878
2026-05-05,329.3544,300.95212,361.3893,331.17072
2026-05-06,329.35474,307.56052,356.76443,332.16248
2026-05-07,329.35498,302.9099,352.1422,327.52606
2026-05-08,329.35532,294.42188,355.3852,324.90353
2026-05-11,329.35556,287.43304,363.12933,325.2812
2026-05-12,329.35583,293.4846,361.09677,327.29068
2026-05-13,329.3561,287.4618,349.5298,318.4958
2026-05-14,329.3564,299.07178,349.4386,324.2552
2026-05-15,329.35666,289.65704,356.4666,323.06183
2026-05-18,329.3569,291.4784,346.75342,319.1159
2026-05-19,329.35712,288.15955,359.2649,323.71222
2026-05-20,329.35736,287.97867,361.41153,324.6951
2026-05-21,329.35757,291.19983,356.162,323.6809
2026-05-22,329.35776,300.26556,351.5224,325.89398
2026-05-25,329.35797,289.24185,363.92496,326.5834
2026-05-26,329.35815,297.7371,354.2778,326.00745
2026-05-27,329.35837,303.20462,353.68314,328.44388
2026-05-28,329.35852,306.20822,352.60965,329.40894
2026-05-29,329.3587,296.55725,354.35822,325.45773
2026-06-01,329.35886,291.72357,359.0235,325.37354
2026-06-02,329.359,289.8558,361.7195,325.78766
2026-06-03,329.3592,306.02567,347.00565,326.51566
2026-06-04,329.3593,289.70038,355.65906,322.67972
2026-06-05,329.3595,301.54648,352.6885,327.1175
2026-06-08,329.3596,292.0741,366.60754,329.34082
2026-06-09,329.35974,309.2717,358.88028,334.076
2026-06-10,329.35986,301.308,354.14835,327.72818
2026-06-11,329.36,300.06262,353.31934,326.69098
2026-06-12,329.3601,305.55966,363.95346,334.75656
2026-06-15,329.36023,297.9513,359.8078,328.87955
2026-06-16,329.36035,285.89682,372.7144,329.3056
2026-06-17,329.36044,300.90045,359.39844,330.14944
2026-06-18,329.36057,309.33817,349.08188,329.21002
2026-06-19,329.3607,301.58997,360.85114,331.22055
2026-06-22,329.36075,298.0139,358.20035,328.10712
2026-06-23,329.36087,290.9851,376.06384,333.52448
2026-06-24,329.36093,295.12402,355.03333,325.07867
2026-06-25,329.36102,302.96854,365.5259,334.24722
2026-06-26,329.3611,303.90057,355.03577,329.46817
2026-06-29,329.36115,297.04993,362.39966,329.7248
2026-06-30,329.36127,296.66653,356.50156,326.58405
2026-07-01,329.36133,300.42715,362.0942,331.26068
2026-07-02,329.3614,302.5013,359.09262,330.79697
2026-07-03,329.36148,302.98666,365.4236,334.20514
2026-07-06,329.36154,296.1634,362.88043,329.5219
2026-07-07,329.3616,297.3869,359.99176,328.68933
2026-07-08,329.36163,301.4139,356.52835,328.97113
2026-07-09,329.3617,298.98404,356.06674,327.5254
2026-07-10,329.36172,287.55246,360.42282,323.98764
2026-07-13,329.36176,304.78687,357.68182,331.23434
2026-07-14,329.36182,289.82288,356.0287,322.92578
2026-07-15,329.36188,295.27795,360.08423,327.6811
2026-07-16,329.36194,300.58618,375.6695,338.12784
2026-07-17,329.36194,304.51785,352.56857,328.5432
